iter	MAE
0	4401.438244
1	4332.533346
2	4268.548309
3	4202.365522
4	4138.633022
5	4076.490067
6	4017.225715
7	3957.689826
8	3903.191277
9	3846.011533
10	3789.405196
11	3733.680452
12	3678.5641
13	3626.012631
14	3572.631159
15	3522.242839
16	3474.110269
17	3425.210121
18	3373.308991
19	3326.282272
20	3282.112196
21	3240.299362
22	3195.924558
23	3150.607762
24	3107.501883
25	3062.367931
26	3021.377947
27	2983.345468
28	2944.437145
29	2906.019782
30	2870.644112
31	2834.885987
32	2798.283107
33	2762.963083
34	2728.026511
35	2693.941374
36	2663.28453
37	2631.828037
38	2598.226833
39	2564.821406
40	2532.465495
41	2502.651195
42	2472.383852
43	2441.490388
44	2412.321487
45	2384.199001
46	2355.965171
47	2329.324103
48	2301.690363
49	2274.692741
50	2246.25082
51	2225.133257
52	2201.388845
53	2176.993998
54	2150.727661
55	2127.117727
56	2104.815405
57	2082.473463
58	2058.794808
59	2038.079067
60	2014.667772
61	1991.450452
62	1969.784382
63	1949.413275
64	1927.662463
65	1906.582372
66	1887.769151
67	1870.500182
68	1851.288999
69	1836.416201
70	1818.061528
71	1801.472108
72	1783.680617
73	1768.348576
74	1750.743103
75	1734.037843
76	1717.101122
77	1703.803615
78	1689.921391
79	1673.457873
80	1658.779142
81	1646.406545
82	1632.011635
83	1615.918358
84	1601.117859
85	1587.508408
86	1574.450398
87	1565.431931
88	1552.943991
89	1539.647093
90	1527.383367
91	1515.585413
92	1502.115076
93	1490.602437
94	1478.78517
95	1466.712928
96	1456.439695
97	1446.580877
98	1437.256759
99	1425.247818
100	1415.590795
101	1405.31334
102	1394.922547
103	1384.825503
104	1374.576837
105	1363.535852
106	1353.478035
107	1346.364581
108	1336.810646
109	1329.194202
110	1321.345202
111	1313.007061
112	1304.507013
113	1295.859542
114	1287.882983
115	1279.49743
116	1271.951123
117	1264.391293
118	1258.316499
119	1253.171978
120	1246.17824
121	1238.35933
122	1231.392279
123	1225.017121
124	1218.912762
125	1213.32668
126	1206.075255
127	1199.706336
128	1193.381684
129	1186.944424
130	1180.745429
131	1175.889197
132	1169.434222
133	1163.885755
134	1159.220966
135	1154.252843
136	1148.127037
137	1144.47309
138	1140.300101
139	1134.868347
140	1128.743453
141	1124.063315
142	1119.240383
143	1113.910106
144	1108.852235
145	1104.451142
146	1100.024896
147	1096.34043
148	1091.669843
149	1086.935532
150	1083.99032
151	1079.728049
152	1075.689632
153	1071.272813
154	1067.923976
155	1064.181356
156	1060.734569
157	1057.486949
158	1053.465776
159	1049.402467
160	1046.685401
161	1042.619692
162	1039.099667
163	1035.219646
164	1032.108401
165	1028.310361
166	1024.517782
167	1022.318153
168	1018.94405
169	1016.305605
170	1011.847429
171	1009.112025
172	1006.616735
173	1003.445947
174	1000.600406
175	997.4802282
176	994.5029792
177	992.477442
178	989.2380273
179	987.9205962
180	985.4145692
181	982.8475265
182	979.68986
183	977.6082336
184	973.7153803
185	972.5700439
186	970.8658679
187	968.2409824
188	965.9059725
189	963.7290702
190	961.8324747
191	959.4461243
192	956.6433489
193	954.8263617
194	953.0742645
195	951.0850822
196	949.0888742
197	946.4841235
198	944.7764771
199	942.9572399
200	941.531787
201	939.2003077
202	936.6489914
203	934.5139669
204	932.2786488
205	930.1957287
206	928.6862326
207	927.4863648
208	926.2761057
209	925.3988978
210	923.7577809
211	921.0869294
212	920.2358689
213	919.4706316
214	917.5273688
215	916.498676
216	914.2166166
217	912.4146144
218	911.6486503
219	910.1109186
220	908.0968921
221	906.619813
222	904.6505232
223	902.910762
224	901.6989379
225	900.172117
226	899.1255626
227	898.4285467
228	897.0959488
229	895.9382407
230	895.1040475
231	893.4018697
232	892.1238561
233	890.6491797
234	890.3687375
235	889.4329268
236	887.8018111
237	886.9861532
238	885.1457615
239	884.5070371
240	882.6282449
241	881.2593858
242	879.7864327
243	878.3731245
244	877.4559424
245	875.5757478
246	874.1336959
247	872.5938024
248	871.0350499
249	869.739694
250	867.7552852
251	866.5661758
252	864.8594275
253	863.505173
254	862.2397515
255	860.4191972
256	858.3488894
257	857.6029067
258	856.1411605
259	854.808131
260	853.176042
261	851.8081781
262	850.8654765
263	849.6365108
264	848.6622791
265	847.7764626
266	846.7160384
267	844.9855726
268	844.0251033
269	842.179188
270	841.1116539
271	838.8666799
272	837.5288147
273	836.2265154
274	834.6831215
275	833.430531
276	832.5565355
277	831.4789585
278	830.4221429
279	829.4945757
280	829.1003368
281	828.1914952
282	827.8807078
283	826.8614471
284	826.2567709
285	825.6501745
286	825.2514556
287	824.6379217
288	823.4428913
289	822.2869148
290	821.3770098
291	820.2032304
292	819.7293591
293	818.5944317
294	817.9623713
295	816.3968876
296	815.9749786
297	815.6402102
298	815.0862391
299	814.5766773
300	813.1895442
301	812.2186271
302	811.2482656
303	809.9037344
304	809.0923095
305	808.8090431
306	807.7369187
307	807.1861853
308	806.0237585
309	804.3268736
310	803.8415246
311	803.6719358
312	802.8800218
313	802.6657659
314	801.5305221
315	801.3514709
316	800.5992744
317	800.0283017
318	798.6799145
319	797.5970598
320	796.6960067
321	795.895883
322	794.4311781
323	794.137972
324	793.3129835
325	792.4760647
326	790.9775489
327	790.2936867
328	790.0638313
329	789.1559138
330	788.2061671
331	787.344107
332	786.9624448
333	786.072732
334	785.5141984
335	784.4771347
336	783.9669752
337	783.788981
338	782.8283643
339	782.6280246
340	782.2055373
341	781.8633852
342	781.6034235
343	781.2795665
344	780.0700009
345	778.7113471
346	777.483381
347	776.881774
348	775.81664
349	775.369166
350	774.7283053
351	773.4453162
352	772.7832528
353	772.0942037
354	771.7222201
355	771.5404927
356	770.5123894
357	769.8152333
358	768.5766058
359	768.1436256
360	767.0864908
361	766.7010858
362	766.1001492
363	765.9111939
364	765.1967662
365	764.0479288
366	763.7231464
367	762.9596299
368	761.7612335
369	760.391814
370	760.1699033
371	759.826093
372	758.7001883
373	757.6745482
374	756.90454
375	755.9100527
376	755.5854922
377	754.7461422
378	753.8354351
379	753.1676383
380	752.446956
381	752.0357373
382	751.6535179
383	751.214191
384	750.3964242
385	750.221019
386	749.6391557
387	749.4713601
388	749.0921394
389	748.843943
390	747.8198695
391	747.7173882
392	747.3122175
393	745.966675
394	745.0705708
395	744.8928752
396	744.0714358
397	743.5588924
398	743.2584995
399	743.1412654
400	742.4702163
401	742.2891832
402	741.68012
403	741.3357452
404	741.2127264
405	740.7513901
406	740.2935761
407	740.1631367
408	739.3604484
409	738.8290516
410	738.616214
411	737.4566995
412	736.8179979
413	736.6747359
414	735.8561421
415	735.7316222
416	735.2843542
417	734.0817628
418	733.7390964
419	733.497581
420	732.6684603
421	731.9383933
422	731.8204324
423	730.8103447
424	730.5818543
425	730.4399071
426	730.115669
427	729.8556835
428	728.8775139
429	728.0927463
430	727.9448286
431	727.7160428
432	727.5420366
433	726.89529
434	726.6398007
435	726.2394555
436	725.8907014
437	725.7340226
438	724.8121873
439	724.355841
440	724.1118479
441	724.0233645
442	723.1608736
443	722.9547834
444	722.4742934
445	722.2945079
446	722.2196725
447	721.576787
448	721.2318384
449	721.0345917
450	720.9343519
451	720.8191783
452	720.4207954
453	720.3337417
454	719.8372108
455	719.4309647
456	718.7820621
457	718.694324
458	718.0352142
459	717.0575823
460	716.8255064
461	716.3358442
462	715.9835215
463	715.8716912
464	715.7255905
465	715.2640405
466	714.6375047
467	713.9398711
468	713.5536474
469	713.1178473
470	712.4233866
471	712.0511583
472	711.6226511
473	711.2991498
474	710.7552327
475	710.5286192
476	709.9110441
477	709.3564635
478	709.1659327
479	709.0593999
480	708.1891518
481	707.5675425
482	707.3033196
483	706.5544455
484	706.281152
485	705.4655349
486	705.0350577
487	704.8165469
488	704.4906798
489	704.353267
490	704.2210072
491	704.047797
492	702.8527581
493	702.7065538
494	702.596303
495	702.3358232
496	701.4294529
497	701.2961729
498	701.1980731
499	700.1867177
500	699.9037979
501	699.4153021
502	699.0450315
503	698.9728238
504	698.6204098
505	698.2636538
506	698.1637316
507	697.0278014
508	696.7628972
509	696.256757
510	696.0250862
511	695.811194
512	694.8374434
513	694.6403309
514	694.5337918
515	694.2483617
516	693.9740051
517	693.8587673
518	693.8119084
519	693.501499
520	693.4551741
521	693.0720351
522	692.7732821
523	691.9791582
524	691.3499041
525	691.2451136
526	691.1134914
527	690.7628445
528	690.4907088
529	689.7758434
530	689.6271471
531	689.4361089
532	689.1927246
533	688.7668189
534	688.637836
535	687.8490607
536	687.5228807
537	687.4497901
538	687.3692314
539	687.2602496
540	686.6735347
541	686.5265346
542	686.1788294
543	686.114728
544	685.938503
545	685.8967346
546	685.8303369
547	684.9982115
548	684.5393913
549	684.4193364
550	684.2987675
551	684.2609309
552	683.8503287
553	683.2029855
554	682.8448705
555	682.6924008
556	682.4771423
557	682.2778099
558	681.387083
559	680.716929
560	680.6673509
561	680.6082185
562	680.4960585
563	680.245879
564	680.1303186
565	680.08887
566	679.8500683
567	679.7289169
568	679.6470364
569	679.5800562
570	679.2480185
571	679.2084107
572	679.1479514
573	679.0580688
574	678.8489894
575	678.4530757
576	677.6644051
577	677.4447047
578	677.3341469
579	677.0544694
580	676.7664554
581	676.6485714
582	676.3742914
583	676.0611999
584	675.5787115
585	675.0235345
586	674.9456533
587	674.5368718
588	674.1944409
589	673.9484221
590	673.7205504
591	673.1873479
592	673.00628
593	672.2680812
594	671.8173311
595	671.4386336
596	671.3221538
597	670.7271203
598	670.1150374
599	669.8396821
600	669.0832495
601	669.0183565
602	668.9770024
603	668.3458235
604	667.7648964
605	666.9229007
606	666.3391731
607	665.8746777
608	665.4527915
609	665.2736778
610	664.9919372
611	664.2696679
612	663.9462739
613	663.7985873
614	663.3760777
615	662.8727298
616	662.2770533
617	662.1879969
618	661.819672
619	661.6980991
620	660.9141488
621	660.5406319
622	660.0478114
623	659.5869548
624	659.2993975
625	658.9937555
626	658.6438021
627	658.2874663
628	658.1380268
629	657.702445
630	657.5041742
631	657.121134
632	657.0765162
633	656.2178578
634	655.9332374
635	655.7882297
636	655.3326126
637	654.9254782
638	654.8964708
639	654.282155
640	653.9820924
641	653.8960341
642	653.5088416
643	653.4359266
644	653.3374743
645	653.2471907
646	653.185683
647	653.0656548
648	652.9891232
649	652.143842
650	651.4569259
651	651.4177724
652	651.3082054
653	650.5711855
654	650.5289178
655	650.4022888
656	649.6525672
657	649.4190535
658	649.347355
659	648.458406
660	648.2477198
661	647.9284324
662	647.8744077
663	647.8389896
664	647.7636606
665	647.1835608
666	647.0492112
667	646.6639259
668	646.3733826
669	646.3451602
670	645.6903578
671	645.3263516
672	645.1585362
673	644.8545283
674	644.6756623
675	644.3979453
676	644.3696321
677	644.2792843
678	643.9837178
679	643.7659896
680	643.3228721
681	643.038728
682	642.9473173
683	642.7221891
684	642.6316578
685	642.4572575
686	642.4227667
687	641.9818749
688	641.7915567
689	641.7239588
690	641.1337583
691	640.8519994
692	640.4202193
693	640.3213818
694	640.1052473
695	640.0303256
696	639.5282142
697	639.304567
698	638.8822792
699	638.5688984
700	638.3585189
701	638.2485423
702	637.6553801
703	637.096401
704	636.6507563
705	636.2829182
706	636.2262165
707	636.009364
708	635.6589529
709	635.3354184
710	635.0333207
711	634.9857463
712	634.9405783
713	634.8383411
714	634.5249392
715	634.3270204
716	634.2923255
717	634.2069603
718	633.9064525
719	633.8664013
720	633.6518269
721	633.4478996
722	633.0098279
723	632.6796909
724	632.4252485
725	632.3259093
726	631.9993986
727	631.9713645
728	631.3291501
729	631.0613777
730	630.7973955
731	630.7104915
732	630.3820957
733	630.1539492
734	629.8104243
735	629.4313958
736	629.0726756
737	629.0202228
738	628.4047393
739	628.1478988
740	627.7213312
741	627.4470285
742	627.1840733
743	626.8555098
744	626.8007731
745	626.7151482
746	626.5479006
747	626.2163043
748	626.1704426
749	625.9328798
750	625.7782967
751	625.4806905
752	625.3839888
753	625.1200158
754	624.7237691
755	624.1982366
756	624.1465335
757	623.9064572
758	623.8451222
759	623.4351343
760	623.1423951
761	622.8993826
762	622.7240944
763	622.3148266
764	621.9364051
765	621.6459285
766	621.3218214
767	621.2170857
768	620.6970871
769	620.4714981
770	619.9462548
771	619.7489884
772	619.5479028
773	619.5044533
774	619.3492591
775	619.1192203
776	619.025549
777	618.7539669
778	618.4929291
779	618.2243761
780	617.9779595
781	617.659414
782	617.4594568
783	617.1550831
784	616.7239874
785	616.5834869
786	616.2733975
787	615.8402464
788	615.5485477
789	615.3508195
790	615.283314
791	615.1031671
792	614.9309361
793	614.7248915
794	614.4538773
795	614.34442
796	614.2917324
797	614.0498985
798	614.0133319
799	613.7323096
800	613.3379397
801	613.1755317
802	612.846332
803	612.8138481
804	612.7330031
805	612.4190172
806	612.2801303
807	612.2342764
808	612.1385722
809	611.979486
810	611.8663559
811	611.6488348
812	611.5400892
813	611.0389005
814	610.9597322
815	610.4743463
816	610.2197548
817	610.0912536
818	609.9207812
819	609.7289726
820	609.5772334
821	609.3048994
822	608.9298348
823	608.8935013
824	608.6503821
825	608.5245887
826	608.2208748
827	607.8520443
828	607.5767923
829	607.4231551
830	606.9126463
831	606.6234597
832	606.4088779
833	606.3178183
834	606.2074088
835	606.1479714
836	605.9617242
837	605.758922
838	605.7185483
839	605.4898905
840	605.1459568
841	605.0830052
842	604.9443995
843	604.8710962
844	604.7110001
845	604.6200533
846	604.2766968
847	604.2081892
848	604.1010061
849	604.0669043
850	603.5526032
851	603.3766086
852	603.1628937
853	603.1355101
854	603.0730452
855	602.9020136
856	602.6593685
857	602.377235
858	602.2505012
859	602.0619469
860	601.6842892
861	601.4060856
862	601.2553705
863	601.1403786
864	600.9206971
865	600.7148452
866	600.4703377
867	600.1201858
868	600.0164105
869	599.7051567
870	599.4739065
871	599.3261162
872	598.9523339
873	598.6971523
874	598.4944531
875	598.4216345
876	598.3692333
877	598.2345767
878	598.1233124
879	597.6814189
880	597.4144697
881	597.2982607
882	597.1812786
883	597.1619063
884	596.9721666
885	596.7689846
886	596.6966669
887	596.5449339
888	596.3219762
889	596.1594449
890	595.944438
891	595.8546587
892	595.7914471
893	595.7365833
894	595.6540512
895	595.4310351
896	595.1521045
897	594.9890664
898	594.7925818
899	594.4720181
900	594.432602
901	593.9694255
902	593.7479339
903	593.6767579
904	593.413639
905	593.2702817
906	593.2337222
907	592.9881925
908	592.811443
909	592.4057137
910	592.2735128
911	592.0929735
912	592.0757434
913	591.9432262
914	591.7871246
915	591.5264016
916	591.1507742
917	590.7933395
918	590.5871591
919	590.2218736
920	589.7588536
921	589.6617335
922	589.5468922
923	589.1044451
924	589.0388212
925	588.8006132
926	588.7572543
927	588.6490656
928	588.4325502
929	588.374099
930	588.3362376
931	587.7906345
932	587.4765247
933	587.2010389
934	587.1854756
935	586.9453245
936	586.8849884
937	586.4931845
938	586.4618351
939	586.4375235
940	586.1131975
941	585.9577744
942	585.5801993
943	585.3758206
944	585.1424643
945	584.9880202
946	584.8562428
947	584.6082215
948	584.5252812
949	584.4798769
950	584.3733861
951	583.9466081
952	583.7864792
953	583.4247044
954	583.3195265
955	583.2559424
956	583.2005317
957	583.1518287
958	582.8216433
959	582.7004537
960	582.5592388
961	582.4577916
962	582.0821599
963	582.0275055
964	581.9928645
965	581.8264579
966	581.5452052
967	581.4402379
968	581.3511495
969	581.2652982
970	581.1413011
971	581.0150834
972	580.9701822
973	580.8961643
974	580.7237087
975	580.368715
976	580.226597
977	579.9567243
978	579.8674287
979	579.6283131
980	579.5938582
981	579.461716
982	579.2630839
983	579.2218504
984	579.0373209
985	578.7614746
986	578.7050229
987	578.6669471
988	578.477117
989	578.3416325
990	578.3084008
991	578.1910181
992	578.1524204
993	577.744277
994	577.5037436
995	577.4710913
996	577.4353038
997	577.1632444
998	576.8327643
999	576.6983811
1000	576.6012909
1001	576.5010608
1002	576.3973796
1003	576.2703281
1004	576.128336
1005	575.9801691
1006	575.8164195
1007	575.5795506
1008	575.3617161
1009	575.2140492
1010	575.1761666
1011	574.8388209
1012	574.7742825
1013	574.7003782
1014	574.5966111
1015	574.514099
1016	574.3403474
