iter	Passed	Remaining
0	10	46884
1	20	45843
2	30	45446
3	40	45568
4	50	45644
5	61	45722
6	71	45616
7	80	45373
8	90	45183
9	100	45093
10	110	44991
11	120	44935
12	129	44866
13	140	44940
14	150	44883
15	160	44994
16	171	45109
17	181	45219
18	191	45258
19	202	45334
20	213	45434
21	223	45472
22	234	45569
23	244	45589
24	254	45582
25	264	45550
26	274	45502
27	285	45535
28	295	45572
29	305	45519
30	315	45535
31	326	45579
32	336	45602
33	347	45606
34	357	45647
35	368	45647
36	378	45638
37	388	45625
38	399	45680
39	409	45674
40	419	45643
41	429	45637
42	440	45612
43	450	45634
44	460	45622
45	471	45636
46	481	45609
47	491	45624
48	502	45612
49	512	45592
50	522	45611
51	532	45572
52	542	45559
53	553	45534
54	563	45504
55	573	45499
56	583	45480
57	593	45487
58	604	45497
59	615	45513
60	625	45511
61	635	45518
62	645	45491
63	656	45500
64	666	45489
65	676	45468
66	687	45462
67	697	45487
68	708	45472
69	718	45477
70	728	45464
71	739	45449
72	749	45435
73	759	45437
74	770	45458
75	780	45435
76	790	45398
77	801	45424
78	811	45413
79	821	45415
80	831	45386
81	842	45388
82	853	45394
83	863	45379
84	873	45361
85	883	45324
86	893	45325
87	904	45329
88	914	45308
89	923	45274
90	934	45258
91	944	45254
92	954	45244
93	965	45246
94	974	45199
95	984	45171
96	994	45164
97	1005	45146
98	1015	45126
99	1025	45130
100	1035	45115
101	1045	45086
102	1055	45043
103	1064	45008
104	1074	44983
105	1085	44981
106	1095	44957
107	1104	44934
108	1115	44934
109	1125	44923
110	1136	44923
111	1146	44901
112	1156	44891
113	1166	44877
114	1176	44862
115	1186	44828
116	1196	44812
117	1206	44800
118	1216	44790
119	1226	44784
120	1236	44749
121	1246	44715
122	1256	44697
123	1266	44680
124	1275	44650
125	1285	44636
126	1295	44611
127	1306	44609
128	1326	44934
129	1337	44950
130	1347	44934
131	1357	44920
132	1367	44898
133	1377	44882
134	1387	44871
135	1398	44867
136	1408	44841
137	1417	44818
138	1427	44795
139	1437	44771
140	1447	44738
141	1457	44722
142	1467	44701
143	1477	44686
144	1486	44655
145	1496	44623
146	1506	44613
147	1516	44602
148	1526	44578
149	1536	44570
150	1546	44547
151	1556	44527
152	1566	44513
153	1576	44481
154	1586	44467
155	1596	44451
156	1606	44444
157	1616	44428
158	1626	44395
159	1636	44376
160	1646	44364
161	1655	44338
162	1665	44310
163	1675	44300
164	1686	44306
165	1697	44323
166	1708	44326
167	1719	44342
168	1730	44343
169	1741	44354
170	1752	44359
171	1762	44346
172	1772	44339
173	1782	44322
174	1793	44312
175	1803	44318
176	1814	44305
177	1823	44278
178	1833	44256
179	1843	44240
180	1852	44214
181	1862	44190
182	1872	44171
183	1882	44154
184	1891	44123
185	1901	44092
186	1910	44070
187	1921	44061
188	1930	44043
189	1940	44012
190	1950	44001
191	1960	43991
192	1970	43963
193	1979	43942
194	1989	43923
195	1999	43912
196	2009	43892
197	2019	43871
198	2028	43847
199	2039	43840
200	2048	43817
201	2058	43793
202	2068	43788
203	2078	43769
204	2087	43741
205	2097	43723
206	2107	43712
207	2117	43700
208	2127	43677
209	2137	43666
210	2147	43648
211	2157	43631
212	2167	43623
213	2177	43614
214	2187	43604
215	2198	43606
216	2208	43596
217	2218	43567
218	2227	43550
219	2237	43524
220	2247	43508
221	2256	43487
222	2266	43462
223	2275	43440
224	2285	43423
225	2294	43398
226	2304	43375
227	2314	43359
228	2323	43337
229	2333	43316
230	2342	43297
231	2352	43273
232	2361	43250
233	2382	43441
234	2397	43519
235	2412	43594
236	2423	43590
237	2432	43565
238	2442	43543
239	2452	43526
240	2461	43508
241	2471	43488
242	2481	43478
243	2491	43458
244	2500	43432
245	2510	43406
246	2519	43384
247	2529	43368
248	2539	43354
249	2549	43338
250	2558	43318
251	2568	43291
252	2577	43273
253	2588	43262
254	2598	43249
255	2607	43224
256	2616	43200
257	2626	43180
258	2635	43153
259	2650	43226
260	2660	43217
261	2671	43208
262	2680	43182
263	2690	43162
264	2699	43142
265	2709	43123
266	2718	43105
267	2728	43084
268	2737	43064
269	2747	43048
270	2757	43026
271	2766	43000
272	2775	42980
273	2785	42967
274	2795	42945
275	2805	42934
276	2814	42909
277	2823	42880
278	2833	42862
279	2842	42837
280	2851	42817
281	2861	42797
282	2871	42784
283	2881	42769
284	2890	42749
285	2899	42725
286	2909	42709
287	2918	42685
288	2928	42671
289	2938	42655
290	2947	42638
291	2956	42613
292	2966	42587
293	2975	42564
294	2984	42544
295	2994	42530
296	3004	42511
297	3014	42499
298	3023	42477
299	3032	42448
300	3041	42433
301	3050	42409
302	3060	42391
303	3070	42380
304	3079	42359
305	3089	42348
306	3099	42336
307	3109	42322
308	3118	42298
309	3127	42277
310	3137	42261
311	3147	42243
312	3155	42216
313	3165	42196
314	3174	42172
315	3183	42155
316	3193	42141
317	3203	42132
318	3213	42114
319	3222	42098
320	3232	42086
321	3242	42069
322	3251	42045
323	3261	42034
324	3270	42016
325	3280	42006
326	3289	41982
327	3299	41974
328	3310	41966
329	3319	41947
330	3330	41942
331	3339	41920
332	3348	41903
333	3357	41882
334	3367	41872
335	3377	41860
336	3387	41849
337	3397	41831
338	3407	41819
339	3416	41802
340	3426	41794
341	3437	41794
342	3446	41775
343	3456	41759
344	3465	41741
345	3475	41725
346	3485	41713
347	3495	41700
348	3504	41682
349	3514	41671
350	3524	41658
351	3534	41645
352	3543	41631
353	3553	41618
354	3563	41610
355	3573	41598
356	3583	41583
357	3592	41566
358	3601	41547
359	3611	41535
360	3620	41515
361	3631	41508
362	3640	41494
363	3650	41482
364	3661	41477
365	3670	41463
366	3680	41451
367	3690	41437
368	3699	41421
369	3709	41411
370	3719	41400
371	3730	41391
372	3740	41382
373	3749	41363
374	3758	41344
375	3767	41327
376	3777	41312
377	3787	41298
378	3796	41279
379	3805	41262
380	3815	41245
381	3824	41228
382	3833	41208
383	3842	41191
384	3852	41174
385	3862	41161
386	3871	41147
387	3881	41135
388	3890	41118
389	3900	41103
390	3909	41082
391	3918	41065
392	3927	41042
393	3936	41021
394	3945	41001
395	3954	40987
396	3964	40975
397	3974	40962
398	3984	40952
399	3994	40947
400	4005	40939
401	4014	40926
402	4024	40909
403	4033	40892
404	4042	40877
405	4052	40867
406	4062	40858
407	4072	40842
408	4081	40826
409	4091	40819
410	4101	40807
411	4110	40787
412	4120	40777
413	4130	40766
414	4139	40749
415	4149	40732
416	4158	40716
417	4167	40696
418	4176	40677
419	4185	40663
420	4195	40649
421	4205	40636
422	4214	40625
423	4224	40607
424	4233	40591
425	4243	40582
426	4253	40570
427	4263	40561
428	4272	40545
429	4281	40527
430	4291	40512
431	4300	40498
432	4310	40486
433	4319	40472
434	4329	40457
435	4339	40445
436	4349	40439
437	4358	40422
438	4368	40410
439	4378	40405
440	4389	40400
441	4399	40388
442	4408	40372
443	4418	40364
444	4428	40357
445	4438	40348
446	4448	40338
447	4458	40324
448	4468	40311
449	4477	40298
450	4487	40283
451	4496	40269
452	4506	40256
453	4515	40239
454	4525	40230
455	4534	40216
456	4544	40200
457	4553	40187
458	4563	40178
459	4572	40158
460	4582	40149
461	4591	40133
462	4601	40125
463	4611	40114
464	4622	40114
465	4642	40189
466	4652	40178
467	4662	40170
468	4672	40160
469	4682	40152
470	4692	40141
471	4702	40132
472	4712	40117
473	4721	40104
474	4731	40093
475	4741	40083
476	4751	40073
477	4761	40061
478	4771	40050
479	4781	40040
480	4790	40029
481	4800	40014
482	4808	39994
483	4818	39982
484	4829	39977
485	4838	39964
486	4849	39957
487	4859	39950
488	4869	39939
489	4879	39930
490	4888	39917
491	4898	39905
492	4907	39887
493	4917	39878
494	4927	39863
495	4937	39856
496	4946	39843
497	4956	39832
498	4966	39820
499	4975	39807
500	4985	39791
501	4994	39775
502	5004	39764
503	5013	39750
504	5023	39737
505	5032	39725
506	5042	39714
507	5051	39697
508	5061	39685
509	5070	39665
510	5079	39654
511	5089	39641
512	5098	39623
513	5108	39615
514	5118	39607
515	5128	39598
516	5138	39586
517	5148	39578
518	5158	39565
519	5168	39559
520	5177	39545
521	5188	39539
522	5197	39525
523	5207	39514
524	5217	39502
525	5227	39492
526	5236	39479
527	5246	39470
528	5256	39460
529	5266	39452
530	5277	39448
531	5287	39434
532	5297	39430
533	5307	39418
534	5317	39407
535	5326	39393
536	5336	39381
537	5345	39369
538	5355	39358
539	5365	39348
540	5375	39336
541	5385	39326
542	5394	39314
543	5404	39303
544	5414	39295
545	5424	39282
546	5434	39272
547	5444	39261
548	5453	39247
549	5462	39232
550	5473	39226
551	5482	39214
552	5492	39199
553	5501	39187
554	5511	39178
555	5521	39165
556	5530	39152
557	5541	39145
558	5550	39133
559	5560	39122
560	5570	39112
561	5580	39105
562	5591	39100
563	5601	39093
564	5612	39091
565	5623	39083
566	5635	39087
567	5645	39084
568	5656	39077
569	5665	39064
570	5675	39050
571	5684	39036
572	5694	39024
573	5703	39012
574	5713	39000
575	5723	38990
576	5732	38975
577	5742	38966
578	5752	38957
579	5762	38948
580	5772	38939
581	5782	38928
582	5792	38917
583	5802	38909
584	5812	38899
585	5822	38888
586	5831	38875
587	5841	38865
588	5851	38852
589	5860	38841
590	5870	38829
591	5880	38821
592	5890	38811
593	5900	38797
594	5910	38788
595	5920	38780
596	5930	38772
597	5940	38761
598	5949	38747
599	5960	38741
600	5970	38732
601	5980	38723
602	5990	38711
603	5999	38701
604	6010	38693
605	6019	38677
606	6028	38662
607	6037	38649
